txn_id,posted_date,value_date,merchant_name,mcc,category,subcategory,amount,currency,balance_after,channel,location_city,location_country,card_last4,user_id,recurring_id,notes
5510543d-27ed-400d-a320-0a6749307fd3,2024-01-01,2024-01-02,Apple.com/bill,5734,Shopping,Electronics,-142.37,GBP,2357.63,E-Com,Cupertino,US,1045,user_001,,
74d63b63-3220-4c99-8e82-b2522c49c439,2024-01-01,2024-01-02,Sainsbury's,5411,Groceries,Supermarket,-47.5,GBP,2310.13,POS,London,GB,1045,user_001,,
bd0a6a64-12b2-4997-9e2d-827076f7e49a,2024-01-01,2024-01-03,Uber UK,4121,Transport,Ride Hailing,-18.62,GBP,2291.51,E-Com,London,GB,2219,user_002,,
dd06f27f-8f06-4cd2-9e19-a621f9bd0ccc,2024-01-01,2024-01-01,Crown Estates Lettings,6513,Housing,Rent,-1624.71,GBP,666.8,POS,London,GB,1045,user_001,rec_19f70fbcce,
10dd3c25-f4d2-4690-a049-453135550ec0,2024-01-02,2024-01-02,Shell,5541,Transport,Fuel,-88.75,GBP,578.05,POS,London,GB,9074,user_001,,
aadf7488-f892-4121-9138-7ad86aca56d8,2024-01-02,2024-01-02,Tesco,5411,Groceries,Supermarket,-76.56,GBP,501.49,POS,London,GB,2219,user_001,,
436d840f-4e66-4460-8135-bbfb885d3469,2024-01-03,2024-01-05,Uber UK,4121,Transport,Ride Hailing,-25.96,GBP,475.53,E-Com,London,GB,1045,user_001,,
24ee3a14-ebd4-4386-98fa-ef6e9e6c70df,2024-01-05,2024-01-08,Uber UK,4121,Transport,Ride Hailing,-26.42,GBP,449.11,E-Com,London,GB,4488,user_001,,
b465fc5a-489b-43e7-aea3-e384969be487,2024-01-05,2024-01-08,Deliveroo,5812,Food & Drink,Delivery,-24.99,GBP,424.12,E-Com,London,GB,9074,user_001,,
b588475f-7066-41cd-b109-c5079a933ee8,2024-01-05,2024-01-08,Pret A Manger,5814,Food & Drink,Eating Out,-10.38,GBP,413.74,POS,London,GB,1045,user_001,,
2ddcb8f3-d54a-4f38-ae52-c9719952c333,2024-01-06,2024-01-08,Amazon UK,5942,Shopping,Online Retail,-46.75,GBP,366.99,E-Com,London,GB,9074,user_001,,
d7fb1065-837b-4758-9cae-654f2c42b8f2,2024-01-06,2024-01-08,Pret A Manger,5814,Food & Drink,Eating Out,-7.86,GBP,359.13,POS,London,GB,9074,user_001,,
e393ddd8-0845-4d6b-ad90-efd8aba2b4d0,2024-01-06,2024-01-08,Amazon UK,5942,Shopping,Online Retail,-98.97,GBP,260.16,E-Com,London,GB,9074,user_001,,
